
  No    Ref    V       B-V     U-B
 2252   410  18.200   1.320         
 2253   410  18.210   1.260   0.610
 2254   410  18.210   1.400         
 2255   410  18.210   1.230   0.760
 2256   410  18.220   1.270         
 2257   410  18.230   1.600         
 2258   410  18.240   1.150   0.470
 2259   410  18.250   1.420         
 2260   410  18.270   1.350   0.960
 2261   410  18.270   1.460   2.400
 2262   410  18.280   1.220   0.480
 2263   410  18.280   1.310         
 2264   410  18.310   1.450   1.020
 2265   410  18.320   1.410         
 2266   410  18.330   1.200   0.990
 2267   410  18.330   1.240   0.630
 2268   410  18.340   1.260   0.990
 2269   410  18.350   1.270   0.650
 2270   410  18.350   1.370   0.680
 2271   410  18.370   1.510   0.300
 2272   410  18.380   1.410   0.910
 2273   410  18.380   1.210   0.300
 2274   410  18.380   1.250   0.830
 2275   410  18.390   1.600         
 2276   410  18.390   1.640         
 2277   410  18.390   1.260   0.840
 2278   410  18.400   1.270   0.680
 2279   410  18.400   1.510   0.310
 2280   410  18.420   1.240   0.300
 2281   410  18.420   1.670         
 2282   410  18.420   1.310   0.650
 2283   410  18.430   1.440   0.580
 2284   410  18.430   1.320   0.680
 2285   410  18.440   1.190   0.290
 2286   410  18.450   1.760   0.180
 2287   410  18.460   1.530         
 2288   410  18.470   1.280   0.460
 2289   410  18.480   1.350   0.920
 2290   410  18.480   2.260  -0.310
 2292   410  18.510   1.480   0.780
 2293   410  18.510   2.400  -0.770
 2294   410  18.510   1.710   0.370
 2295   410  18.520   1.700   0.770
 2296   410  18.530   1.190   0.850
 2297   410  18.540   1.300   0.690
 2298   410  18.540   1.280   0.400
 2299   410  18.550   1.170   0.500
 2300   410  18.560   1.320   0.570
 2301   410  18.570   1.280   0.520
 2302   410  18.570   1.270   0.420
 2303   410  18.570   1.580   0.610
 2304   410  18.580   2.330         
 2305   410  18.590   1.420         
 2306   410  18.600   1.940         
 2307   410  18.600   1.240   0.640
 2308   410  18.610   1.260   0.730
 2309   410  18.610   1.290   0.880
 2310   410  18.610   1.500   1.710
 2311   410  18.620   1.470         
 2312   410  18.640   1.570         
 2313   410  18.640   1.310   1.000
 2314   410  18.650   1.360   0.950
 2315   410  18.650   1.200         
 2316   410  18.660   1.400   0.860
 2317   410  18.660   1.270   0.640
 2318   410  18.670   2.300         
 2319   410  18.670   1.230   0.430
 2320   410  18.670   1.420         
 2321   410  18.680   1.220   0.540
 2322   410  18.690   1.300   0.740
 2323   410  18.690   1.670   1.580
 2325   410  18.710   1.240   0.890
 2326   410  18.730   1.340         
 2327   410  18.750   1.600         
 2328   410  18.750   1.490         
 2329   410  18.750   2.500         
 2330   410  18.750   2.040         
 2332   410  18.770   1.330   0.790
 2333   410  18.770   1.360   0.360
 2335   410  18.780   1.440   0.740
 2336   410  18.790   1.300   0.820
 2337   410  18.800   1.540         
 2338   410  18.810   1.360   1.180
 2339   410  18.820   1.620         
 2341   410  18.830   1.530   0.760
 2343   410  18.860   1.310         
 2344   410  18.860   1.410   0.850
 2345   410  18.860   1.370   1.330
 2346   410  18.870   1.350   0.480
 2347   410  18.870   1.470   0.700
 2348   410  18.870   1.490         
 2349   410  18.880   1.550         
 2350   410  18.880   1.550         
 2351   410  18.890   1.390   1.020
 2352   410  18.890   1.620   1.020
 2353   410  18.890   1.580   1.230
 2354   410  18.900   1.310   0.830
 2355   410  18.900   1.700         
 2356   410  18.910   1.270   0.200
 2358   410  18.920   1.960  -0.590
 2359   410  18.920   1.460   0.670
 2360   410  18.920   1.350   0.110
 2361   410  18.920   1.350         
 2362   410  18.930   1.390         
 2363   410  18.930   1.370   0.280
 2364   410  18.930   1.380   0.640
 2365   410  18.950   1.230   0.120
 2366   410  18.950  -0.280   0.750
 2367   410  18.950   1.490         
 2368   410  18.960   1.380   0.690
 2369   410  18.970   1.660         
 2370   410  18.970   1.460   0.280
 2371   410  18.980   1.210   0.510
 2372   410  18.980   1.430   0.670
 2373   410  18.980   1.270   0.660
 2374   410  18.990   2.050   0.980
 2375   410  19.000   1.390   0.200
 2376   410  19.010   1.360   0.540
 2377   410  19.020   1.230   0.100
 2378   410  19.020   1.570   0.510
 2379   410  19.040   1.290   0.340
 2381   410  19.060   1.320   0.350
 2382   410  19.070   1.560         
 2383   410  19.090   0.620         
 2384   410  19.090   1.360   0.680
 2385   410  19.090   1.590         
 2386   410  19.090   1.630         
 2387   410  19.100   1.670   0.420
 2388   410  19.100   1.370         
 2389   410  19.110   1.450         
 2390   410  19.110   1.340         
 2391   410  19.120   1.700         
 2392   410  19.130   1.390  -0.280
 2393   410  19.130   1.510         
 2394   410  19.140   1.700         
 2395   410  19.150   1.680         
 2396   410  19.150   1.600         
 2397   410  19.150   1.530         
 2398   410  19.160   1.690         
 2399   410  19.160   1.530         
 2401   410  19.160   1.460   0.270
 2402   410  19.170   1.610         
 2403   410  19.170   1.400         
 2405   410  19.180   1.550         
 2406   410  19.180   1.890         
 2407   410  19.180   0.720         
 2408   410  19.190   1.650         
 2409   410  19.200   1.210  -0.170
 2411   410  19.210   1.470   1.080
 2412   410  19.210   1.380         
 2413   410  19.210   1.850         
 2414   410  19.220   1.750         
 2415   410  19.230   1.470         
 2416   410  19.230   1.610         
 2417   410  19.230   1.520         
 2418   410  19.230   1.630   0.080
 2419   410  19.230   1.570         
 2420   410  19.240   1.390         
 2421   410  19.240   1.400   0.920
 2422   410  19.240   1.340         
 2423   410  19.250   1.500         
 2424   410  19.270   1.610         
 2425   410  19.270   1.740         
 2426   410  19.270   1.560   0.720
 2428   410  19.290   2.370         
 2430   410  19.320   1.350         
 2431   410  19.320   1.470   0.410
 2432   410  19.340   1.420         
 2433   410  19.340   1.260   0.600
 2434   410  19.340   2.370  -0.930
 2435   410  19.350   1.430   0.570
 2436   410  19.350   2.000         
 2437   410  19.350   1.620         
 2438   410  19.350   1.570         
 2439   410  19.360   1.700         
 2440   410  19.370   1.440         
 2441   410  19.380   1.470         
 2443   410  19.400   1.480   0.360
 2444   410  19.410   1.390         
 2446   410  19.430   1.660         
 2447   410  19.430   1.440         
 2449   410  19.450   1.610         
 2450   410  19.450   2.440         
 2451   410  19.460   1.550         
 2452   410  19.460   1.430  -0.350
 2453   410  19.470   2.470         
 2455   410  19.470   1.420   0.270
 2456   410  19.480   1.610  -0.420
 2457   410  19.480   1.450         
 2458   410  19.490   1.650   0.410
 2459   410  19.490   1.500         
 2460   410  19.490   1.360         
 2461   410  19.490   2.140         
 2462   410  19.500   1.190   1.080
 2463   410  19.510   1.400  -0.120
 2464   410  19.510   1.730         
 2465   410  19.520   1.460         
 2466   410  19.520   1.520         
 2467   410  19.520   1.750         
 2468   410  19.530   1.590         
 2469   410  19.540   1.350         
 2470   410  19.540   1.830         
 2471   410  19.550   1.590         
 2474   410  19.550   1.470         
 2475   410  19.550   1.630  -0.390
 2476   410  19.560   1.550         
 2477   410  19.560   1.280         
 2479   410  19.580   1.160         
 2481   410  19.580   1.480   0.150
 2482   410  19.590   1.290   0.350
 2483   410  19.590   1.550         
 2484   410  19.610   1.320  -0.890
 2485   410  19.610   1.270         
 2486   410  19.610   0.970         
 2487   410  19.610   1.130  -0.200
 2488   410  19.610   1.590         
 2489   410  19.620   1.080         
 2490   410  19.620   1.370         
 2491   410  19.620   1.620         
 2492   410  19.620   1.380         
 2493   410  19.620   1.520         
 2494   410  19.620   1.630         
 2495   410  19.630   1.650   0.500
 2497   410  19.640   1.650         
 2498   410  19.650   1.860         
 2499   410  19.650   1.780         
 2500   410  19.650   1.320         
 2501   410  19.660   1.590         
 2502   410  19.660   1.250         
 2503   410  19.670   1.900         
 2504   410  19.680   2.090         
 2505   410  19.680   1.190         
 2506   410  19.680   0.690         
 2507   410  19.690   1.370         
 2508   410  19.700   1.400         
 2509   410  19.700   1.750         
 2510   410  19.700   1.440         
 2512   410  19.710   1.650         
 2513   410  19.710   2.310  -1.570
 2514   410  19.720   1.330  -0.050
 2515   410  19.720   1.680         
 2516   410  19.720   1.630         
 2518   410  19.740   1.640         
 2520   410  19.750   1.580  -0.060
 2521   410  19.750   1.540         
 2522   410  19.750   1.360         
 2523   410  19.750   1.450         
 2524   410  19.760   1.700         
 2525   410  19.770   1.670   0.730
 2526   410  19.770   1.710   0.450
 2527   410  19.770   1.490   0.120
 2528   410  19.790   1.610         
 2529   410  19.790   1.560         
 2530   410  19.810   1.550         
 2533   410  19.820   1.200         
 2534   410  19.820   1.510         
 2536   410  19.830   1.400         
 2537   410  19.840   1.520         
 2538   410  19.850   1.950         
 2541   410  19.850   1.590         
 2542   410  19.850   1.510         
 2543   410  19.860   1.670         
 2544   410  19.860   1.550         
 2545   410  19.870   1.650         
 2546   410  19.880   1.550         
 2547   410  19.880   1.420         
 2549   410  19.890   1.850         
 2550   410  19.890   1.540         
 2551   410  19.910   1.400         
 2552   410  19.920   1.550         
 2553   410  19.930   1.680         
 2554   410  19.940   1.170         
 2556   410  19.940   1.700         
 2558   410  19.950   1.630         
 2559   410  19.950   1.430         
 2560   410  19.950   1.470         
 2562   410  19.950   1.710         
 2563   410  19.950   1.440         
 2564   410  19.950   1.450         
 2565   410  19.950   1.480         
 2568   410  19.960   1.470         
 2569   410  19.960   1.000         
 2570   410  19.970   1.530         
 2572   410  19.970   1.520         
 2575   410  19.980   1.550         
 2577   410  20.000   1.750         
 2578   410  20.010   1.440         
 2582   410  20.020   1.570         
 2584   410  20.030   1.770         
 2585   410  20.040   1.450         
 2586   410  20.040   1.480         
 2589   410  20.060   1.120         
 2590   410  20.070   1.910         
 2591   410  20.070   1.570         
 2592   410  20.070   1.530         
 2594   410  20.090   1.640         
 2597   410  20.090   1.610         
 2599   410  20.100   1.460   0.290
 2600   410  20.100   1.650  -1.050
 2602   410  20.110   1.550   0.130
 2603   410  20.120   1.530         
 2606   410  20.130   1.650         
 2608   410  20.140   1.590         
 2609   410  20.140   1.440         
 2610   410  20.150   1.510         
 2613   410  20.160   0.830         
 2614   410  20.160   1.670         
 2617   410  20.170   1.040         
 2618   410  20.180   1.750         
 2619   410  20.180   1.690         
 2620   410  20.180   1.780         
 2621   410  20.200   2.110         
 2622   410  20.200   1.570         
 2627   410  20.210   1.490         
 2628   410  20.210   1.600         
 2629   410  20.210   2.180         
 2633   410  20.230   1.520         
 2634   410  20.240   1.460         
 2635   410  20.240   1.850         
 2636   410  20.240   1.540  -0.550
 2638   410  20.240   1.540         
 2639   410  20.240   1.790         
 2640   410  20.260   1.620  -0.900
 2641   410  20.270   1.700         
 2645   410  20.280   1.510         
 2647   410  20.280   1.380  -0.070
 2651   410  20.300   1.840         
 2653   410  20.300   1.750         
 2654   410  20.300   1.470         
 2656   410  20.310   1.530         
 2660   410  20.320   2.350         
 2662   410  20.340   1.730         
 2663   410  20.340   1.690         
 2664   410  20.350   1.610         
 2667   410  20.360   1.440         
 2668   410  20.360   1.760         
 2679   410  20.400   1.430         
 2682   410  20.420   1.220         
 2684   410  20.430   1.260         
 2685   410  20.430   1.560         
 2690   410  20.450   1.650         
 2703   410  20.510   1.880         
 2707   410  20.520   1.810         
 2709   410  20.520   1.750         
 2711   410  20.530   1.310         
 2712   410  20.530   1.650         
 2713   410  20.540   1.500         
 2733   410  20.600   1.500         
 2742   410  20.640   1.560         
 2743   410  20.650   0.800         
 2760   410  20.720  -0.180         
 2766   410  20.750   1.880         
 2769   410  20.760   1.470         
 2771   410  20.760   0.760         
 2802   410  20.860   1.580         
 2805   410  20.860   1.420         
 2812   410  20.880   1.510         
 2814   410  20.890   1.850         
 2892   410  21.150   0.040         
 2896   410  21.170   0.170  -0.630
 2982   410  21.400   1.090         
 2995   410  21.440   0.780         
 3031   410  21.570  -0.530         
